Date,Open,High,Low,Close,Adj Close,Volume,Percentage Change
2023-02-24,129.619995,130.669998,129.220001,130.570007,125.919983,3015800,0.73
2023-02-27,131.419998,131.869995,130.130005,130.490005,125.842842,2761300,-0.71
2023-02-28,130.550003,130.610001,129.139999,129.300003,124.695213,5143100,-0.96
2023-03-01,128.899994,129.470001,127.739998,128.190002,123.624741,3760700,-0.55
2023-03-02,128.389999,129.220001,127.709999,128.929993,124.338379,3340100,0.42
2023-03-03,129.350006,129.910004,128.770004,129.639999,125.023094,2860300,0.22
2023-03-06,129.639999,130.860001,129.589996,130.190002,125.553513,3131200,0.42
2023-03-07,130.279999,130.419998,128.190002,128.250000,123.682602,3530400,-1.56
2023-03-08,128.479996,128.740005,127.550003,128.050003,123.489731,2778800,-0.33
2023-03-09,128.300003,128.529999,125.980003,126.160004,121.667038,5478300,-1.67
2023-03-10,126.120003,127.290001,125.129997,125.449997,120.982315,5990900,-0.53
2023-03-13,125.150002,128.190002,124.849998,125.580002,121.107697,8188400,0.34
2023-03-14,126.489998,126.639999,123.199997,124.650002,120.210815,8114800,-1.45
2023-03-15,122.989998,123.349998,121.709999,123.279999,118.889595,5989300,0.24
2023-03-16,122.959999,124.820000,121.919998,124.699997,120.259026,6438700,1.42
2023-03-17,124.080002,124.519997,122.930000,123.690002,119.284996,37400200,-0.31
2023-03-20,124.309998,126.160004,124.190002,125.940002,121.454872,4588300,1.31
2023-03-21,126.900002,127.150002,125.660004,126.570000,122.062431,3856300,-0.26
2023-03-22,127.000000,127.220001,124.010002,124.050003,119.632187,3549000,-2.32
2023-03-23,123.809998,124.930000,122.599998,123.370003,118.976402,4651900,-0.36
2023-03-24,123.360001,125.400002,122.879997,125.290001,120.828011,3812300,1.56
2023-03-27,126.470001,130.259995,126.470001,129.309998,124.704849,6524100,2.25
2023-03-28,129.179993,129.660004,128.800003,129.339996,124.733780,2888900,0.12
2023-03-29,130.119995,130.350006,129.179993,129.710007,125.090614,3279600,-0.32
2023-03-30,130.160004,131.479996,129.100006,129.220001,124.618065,3561800,-0.72
2023-03-31,129.470001,131.229996,129.419998,131.089996,126.421463,4524700,1.25
2023-04-03,130.970001,132.610001,130.770004,132.059998,127.356911,3840100,0.83
2023-04-04,131.990005,132.149994,130.889999,131.600006,126.913307,3382800,-0.30
2023-04-05,131.369995,132.610001,131.369995,132.139999,127.434074,2898700,0.59
2023-04-06,132.160004,132.600006,130.320007,130.500000,125.852478,3050600,-1.26
2023-04-10,129.830002,131.080002,129.240005,131.029999,126.363602,2614400,0.92
2023-04-11,130.580002,131.100006,130.179993,130.419998,125.775330,3132400,-0.12
2023-04-12,130.399994,130.889999,128.169998,128.539993,123.962265,3957500,-1.43
2023-04-13,128.009995,128.389999,126.000000,127.900002,123.345070,5621500,-0.09
2023-04-14,128.460007,129.839996,127.309998,128.139999,123.576523,4180600,-0.25
